2.136	1.416	-0.073	-0.996	-1.839	-2.895	-13.865
4.214	1.549	0.400	-1.968	-3.217	-2.809	-13.865
2.304	-0.117	0.126	-1.226	-1.788	-2.646	-13.865
2.336	-0.279	0.157	-0.961	-1.018	-2.205	-13.865
1.523	0.801	-0.112	-1.064	-0.742	-1.785	-13.865
1.223	0.771	-0.153	-0.723	-0.943	-1.169	-13.865
0.966	0.529	-0.244	-0.668	-1.075	-0.508	-13.865
1.139	0.864	0.002	-0.166	-1.125	0.416	-13.865
0.531	0.158	0.010	-0.735	-0.671	0.733	-13.865
0.684	0.320	-0.001	-0.329	0.356	1.191	-13.865
0.493	0.475	0.034	-0.284	0.933	1.464	-13.865
0.651	0.552	0.134	-0.200	1.153	1.633	-13.865
0.813	0.803	0.234	-0.059	0.961	1.589	-13.865
0.640	0.673	0.050	-0.219	0.685	1.305	-13.865
0.768	0.599	0.129	-0.527	0.474	1.202	-13.865
0.868	0.646	0.191	-0.469	0.335	2.903	-13.865
1.064	0.771	0.118	-0.370	-0.166	0.704	-13.865
1.243	0.789	0.051	-0.721	-0.420	-0.243	-13.865
1.696	1.133	0.167	-0.559	-0.737	-0.581	-13.865
2.120	1.470	0.448	-0.411	-0.961	-1.322	-13.865
2.229	1.504	0.287	-0.693	-1.085	-1.542	-13.865
2.136	1.359	0.330	-0.835	-1.386	-2.381	-13.865
1.875	1.178	-0.086	-1.383	-2.024	-2.879	-13.865
2.319	1.546	0.193	-1.022	-1.896	-2.832	-13.865
2.561	1.866	0.185	-1.470	-2.385	-3.886	-5.247
4.737	3.297	0.575	-2.711	-5.013	-3.569	-5.247
2.276	0.631	0.092	-1.030	-2.390	-3.140	-5.247
2.296	1.614	0.329	-1.111	-1.636	-2.675	-5.247
2.040	1.337	0.040	-0.773	-1.211	-2.286	-5.247
1.792	1.004	-0.012	-0.809	-0.968	-1.535	-5.247
1.303	0.938	0.106	-0.253	-0.395	-0.471	-5.247
0.623	0.321	0.034	-0.770	-0.055	0.350	-5.247
1.106	0.889	0.210	0.012	0.999	1.203	-5.247
0.860	0.954	0.554	-0.067	1.902	1.928	-5.247
1.101	0.753	0.466	0.439	1.571	2.527	-5.247
0.872	0.858	0.469	0.569	1.267	2.701	-5.247
0.724	0.618	0.390	0.116	1.521	2.697	-5.247
0.463	0.278	0.104	-0.009	1.182	2.006	-5.247
0.852	0.540	0.209	0.069	0.928	2.075	-5.247
0.581	0.512	0.105	-0.181	0.639	1.175	-5.247
0.363	0.873	0.233	-0.257	0.185	1.493	-5.247
1.648	1.231	0.327	-0.126	-0.299	-0.050	-5.247
2.082	0.803	-0.053	-0.815	-0.936	-1.445	-5.247
2.915	1.540	0.297	-0.780	-1.220	0.189	-5.247
2.305	1.426	0.187	-1.449	-2.142	-2.685	-5.247
2.486	1.556	0.121	-0.975	-1.863	-3.294	-5.247
2.833	1.926	0.331	-1.320	-2.130	-2.499	-5.247
2.711	1.924	0.134	-1.387	-2.379	-3.930	-5.247
